gwasID,Bolting,InitLeafLen,log_BbLe_max
8430,0,33,0.693147181
6983,0,32,0
7207,0,36,1.791759469
6944,0,37,0
6963,0,39,0
8325,1,30,3.828641396
6927,0,32,1.098612289
7373,1,43,1.386294361
7186,1,36,3.33220451
6898,1,23,4.564348191
8259,1,32,2.995732274
7133,1,30,2.079441542
6936,1,42,0
8237,0,33,0
5837,1,30,1.945910149
6008,1,22,4.553876892
8258,0,24,0
6975,1,44,1.791759469
8245,1,30,0
8234,0,21,1.386294361
8354,1,30,2.197224577
6921,0,25,3.044522438
6943,1,26,2.48490665
6899,1,23,0
6930,1,32,3.912023005
7223,0,27,3.295836866
7520,0,25,0
8323,0,24,3.091042453
8422,0,31,0
6907,0,21,0.693147181
6983,0,28,0
8424,0,43,0
6918,0,27,0
6900,0,20,1.098612289
8395,1,34,1.386294361
6914,0,23,0
6709,1,25,0
8386,0,26,0
6909,0,20,0.693147181
7517,0,28,1.098612289
7327,0,34,0
6906,1,21,0
7522,0,25,0
8275,0,32,0.693147181
6944,1,40,4.736198448
6982,1,33,0.693147181
8329,1,30,2.564949357
7413,1,28,2.63905733
7081,1,23,0
6928,0,30,0
7033,0,25,0
7525,1,27,0
6967,1,31,3.80666249
6988,0,34,0
6923,1,22,3.688879454
8374,1,35,0
6963,1,36,0
7418,0,28,3.33220451
6046,0,18,0
8311,1,21,1.386294361
8238,0,41,0
8239,0,30,0
8242,0,32,1.386294361
6922,1,15,0
6913,0,28,0
6931,1,30,3.80666249
6964,0,24,0.693147181
8256,0,23,1.098612289
7514,0,23,0
6969,0,33,0.693147181
6953,0,29,1.791759469
7415,1,20,0.693147181
6951,0,30,0.693147181
6243,1,35,1.791759469
8274,0,29,0
8326,0,32,0
6929,0,31,0
6977,0,29,0
8334,0,32,0
6974,0,35,0
8314,1,18,1.098612289
7521,0,30,0
8426,1,18,3.784189634
6958,1,22,0
8214,0,17,0
8366,1,35,0
6933,0,34,0
8297,0,28,0
6971,0,40,0
8310,1,28,0
6987,1,23,0.693147181
6946,1,25,0.693147181
6959,0,30,0
6985,1,32,3.33220451
6919,0,13,0.693147181
8388,1,31,2.708050201
8376,0,23,0
8313,0,20,1.945910149
7287,1,27,1.386294361
8285,1,32,1.386294361
9058,0,25,0
8235,0,21,0
8351,0,21,0
6979,0,32,4.262679877
8271,0,25,0
8337,0,22,0
7207,1,30,0
6042,1,25,2.772588722
6956,0,28,0
6040,0,23,0
7524,0,31,0
8243,0,32,1.386294361
7015,1,34,0
6981,1,32,3.63758616
8369,0,16,0
8241,0,23,0
7516,0,25,1.609437912
5719,0,24,0
7275,1,20,0
6992,1,23,2.995732274
6009,0,21,0
6904,0,30,0
6978,1,15,2.302585093
8231,0,25,0
7298,1,35,1.791759469
8365,0,29,3.17805383
6939,0,36,0
8246,0,30,0
6945,0,33,0
6043,0,29,0
6980,1,33,0
8353,1,37,4.430816799
10022,1,30,0
6965,0,30,0
6976,0,32,2.48490665
8270,1,26,0
8335,0,24,0.693147181
7461,1,23,1.098612289
6942,1,26,1.386294361
8412,0,32,3.970291914
7515,0,27,0
8215,0,20,0
7438,0,29,0
7523,0,29,1.098612289
6968,0,26,0
8420,1,30,0
8283,0,23,0
6924,1,20,0
6917,0,27,1.386294361
7526,0,25,0
8247,0,26,0
8284,0,22,2.564949357
8236,1,16,0
6903,1,23,0
8300,1,16,1.609437912
6938,1,26,0
8312,0,30,0
8389,0,33,0.693147181
8387,0,23,0.693147181
6909,1,32,0.693147181
8230,0,33,0
6911,1,24,0
8430,0,31,0
6984,1,33,3.63758616
8304,0,21,1.609437912
6972,1,34,1.098612289
8213,1,22,4.189654742
6920,0,31,0.693147181
8249,0,20,0
7258,1,31,0
6937,0,37,0
7300,0,29,0
6897,0,28,2.397895273
8306,0,17,0
8290,1,26,1.386294361
8419,1,22,1.609437912
