"GOout.GO","GOout.p_val"
"GO:0009867",0.113469
"GO:0035445",0.113579
"GO:0000476",0.113741
"GO:1990785",0.113865
"GO:0043266",0.114001
"GO:0009055",0.11403
"GO:0032454",0.11449
"GO:0030688",0.114685
"GO:0031328",0.115052
"GO:0098656",0.115126
"GO:0000082",0.115154
"GO:0005464",0.115231
"GO:0030942",0.115703
"GO:0006366",0.115873
"GO:0005381",0.116296
"GO:1900367",0.116519
"GO:0006551",0.11743
"GO:0006573",0.11743
"GO:0009664",0.11764
"GO:0009615",0.117877
"GO:0002230",0.117947
"GO:0019941",0.118096
"GO:0009635",0.118173
"GO:0019139",0.118586
"GO:0009915",0.118812
"GO:0042362",0.118812
"GO:0010050",0.11887
"GO:0046856",0.119301
"GO:0006402",0.119339
"GO:0051974",0.11977
"GO:0000783",0.11977
"GO:0032210",0.11977
"GO:0010196",0.119843
"GO:0004407",0.120347
"GO:0040008",0.121102
"GO:0000978",0.121425
"GO:0006979",0.121466
"GO:0045930",0.121632
"GO:0003746",0.121882
"GO:0009873",0.121942
"GO:0000795",0.122234
"GO:0033178",0.122351
"GO:0080126",0.124635
"GO:0004815",0.124816
"GO:1900067",0.125023
"GO:0015120",0.12508
"GO:0090502",0.125173
"GO:0009861",0.125252
"GO:0010018",0.125656
"GO:0008821",0.125983
"GO:0045046",0.126283
"GO:0034720",0.127159
"GO:0035864",0.1275
"GO:0016744",0.127708
"GO:0036290",0.127946
"GO:0006557",0.128513
"GO:0004014",0.128513
"GO:0051903",0.128682
"GO:0016559",0.129777
"GO:0002151",0.12984
"GO:0006633",0.13
"GO:0009992",0.130219
"GO:0003755",0.130685
"GO:1901332",0.131002
"GO:1990071",0.131395
"GO:0070646",0.131642
"GO:0010558",0.132107
"GO:0035970",0.132891
"GO:0004725",0.133057
"GO:0048285",0.133058
"GO:0046322",0.133139
"GO:0017077",0.133177
"GO:0033036",0.133639
"GO:0051014",0.133719
"GO:0071217",0.133756
"GO:0004693",0.133921
"GO:0006123",0.134318
"GO:0017119",0.134445
"GO:0052716",0.134545
"GO:0010027",0.134832
"GO:1990757",0.135388
"GO:0004467",0.135626
"GO:0046885",0.135655
"GO:0005078",0.13581
"GO:0046481",0.135877
"GO:0052629",0.136004
"GO:1901799",0.136044
"GO:0008199",0.1361
"GO:0005385",0.136214
"GO:0008757",0.136318
"GO:0036092",0.136623
"GO:0004845",0.137195
"GO:0080155",0.137474
"GO:0018107",0.137498
"GO:0004089",0.13799
"GO:0051090",0.138391
"GO:0043619",0.138391
"GO:2000068",0.138391
"GO:0015990",0.13852
"GO:2000032",0.138629
"GO:0045014",0.138736
"GO:0031145",0.139043
"GO:0072488",0.139684
"GO:0010025",0.139888
"GO:0045493",0.13999
"GO:0032041",0.140352
"GO:0009968",0.140549
"GO:0071215",0.14061
"GO:0000274",0.141729
"GO:0047262",0.141946
"GO:0045595",0.142104
"GO:0099402",0.14215
"GO:2000104",0.142155
"GO:0031176",0.142242
"GO:0016272",0.142551
"GO:0010148",0.142773
"GO:1901017",0.143517
"GO:0010360",0.143517
"GO:0010325",0.144298
"GO:0019915",0.144812
"GO:0045740",0.14487
"GO:1902916",0.144998
"GO:0010497",0.146056
"GO:2000070",0.146305
"GO:0061158",0.146724
"GO:0051177",0.147499
"GO:0042500",0.14782
"GO:0071556",0.14782
"GO:0000741",0.147975
"GO:0000307",0.148201
"GO:0010072",0.148426
"GO:0034080",0.14912
"GO:0080002",0.1493
"GO:0045962",0.149324
"GO:1990164",0.149712
"GO:0015103",0.1513
"GO:1903426",0.151535
"GO:0048580",0.151631
"GO:0016656",0.153644
"GO:0004708",0.153847
"GO:0008380",0.154219
"GO:0045905",0.154311
"GO:0010020",0.154374
"GO:0005254",0.154523
"GO:0032259",0.154712
"GO:0019285",0.155009
"GO:1902600",0.155464
"GO:0031540",0.155485
"GO:0033396",0.155531
"GO:0000910",0.155882
"GO:0046622",0.156233
"GO:0005199",0.156697
"GO:0010105",0.156757
"GO:1990052",0.156976
"GO:0016032",0.157061
"GO:2000779",0.157271
"GO:0018364",0.157325
"GO:0018027",0.157575
"GO:0008836",0.157696
"GO:0048448",0.157749
"GO:0046983",0.157909
"GO:0030674",0.157925
"GO:0007065",0.157966
"GO:0007066",0.157966
"GO:0006212",0.158261
"GO:0042132",0.158516
"GO:0032491",0.159025
